PS.1,PS.2,PS.3,PS.4,class,type,xcoor,ycoor
8228,7852,6905,8272,1,grass,677880,9120625
10256,9383,8070,6181,1,grass,677895,9120609
9924,9165,7861,5828,1,grass,677903,9120596
5793,5122,3957,9763,2,tree,677869,9121131
5829,5170,3705,10165,2,tree,677637,9120667
5742,5248,3854,9341,2,tree,677737,9120229
6774,5949,5148,3998,3,building,677948,9120950
12958,12765,12190,10122,3,building,678179,9120493
7048,6250,5294,4527,3,buiding,678015,9120541
6612,5724,4497,4492,4,road,678060,9120890
6604,5826,4718,4550,4,road,677949,9120620
6484,5635,4526,3960,4,road,677829,9120200
6439,5714,4911,4811,5,residential,678017,9121009
6379,5588,4813,4774,5,residential,677594,9120937
6964,6339,5737,5459,5,residential,677617,9120273
